MARKER NAME,MARKER DESCRIPTION,HYPERLINK,GEOMETRY
Battle of the Plains Store,"Historical Marker erected by City of Baton Rouge

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=93475"">this link</a>",,POINT (-91.205698952036 30.690687534843)
John Archer Lejeune,"Historical Marker No. 2/6 erected 2001 by Patrick F. Taylor

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=88608"">this *",,POINT (-91.190278935995 30.443694483461)
Dog-Trot House,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=92485"">this link</a>",,POINT (-91.114928914952 30.411359478793)
Tyrann Mathieu,"Historical Marker erected by Kristof and Eric Harris Families

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=107720"">th*",,POINT (-91.184792643946 30.411162936089)
Herman Johnson,"Historical Marker erected by Dr. & Mrs. Clint Cormier and Family

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=107552""*",,POINT (-91.184812753592 30.411169476271)
Louisiana's Old State Capitol,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=96602"">this link</a>",,POINT (-91.189452936908 30.447252484311)
Blackwater Conservation Area,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=111771"">this link</a>",,POINT (-91.087333212514 30.53466069638)
Ron Estay,"Historical Marker erected by The Gisclairs-Bob-Ondria-Janee-Ryan

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=105028""*",,POINT (-91.185227163568 30.412072356883)
Original Site/Donors of Land,"Historical Marker erected by Episcopal High School, Diocese of Louisiana

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker*",,POINT (-91.032244892776 30.422762484206)
Tommy Casanova,"Historical Marker erected by Dr. & Mrs. Derrick W. Spell

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=105000"">this li*",,POINT (-91.185225813986 30.412075626343)
James Britt,"Historical Marker erected by Family of Mike & Jon-Michael Morgan

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=105406""*",,POINT (-91.185227163532 30.412077266949)
"Marvin ""Moose"" Stewart","Historical Marker erected by Tommy & Ann Mook & Family

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=99752"">this link<*",,POINT (-91.185238934012 30.412113476421)
Comite River,"Historical Marker erected by State of Louisiana and National Park Service.

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?mark*",,POINT (-91.087752982672 30.534556146252)
John Baptiste Kleinpeter,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=92837"">this link</a>",,POINT (-91.172253930113 30.40463647571)
Flag of Spain,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=91826"">this link</a>",,POINT (-91.188598936142 30.44560248383)
Eddy Furniss,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=97874"">this link</a>",,POINT (-91.188232933937 30.405478475437)
1936 SEC Champions,"Historical Marker erected by Col. F.C. Schaffer & Family

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=98763"">this lin*",,POINT (-91.185282933814 30.411488476901)
Baton Rouge,"Historical Marker erected by Codefil & Commision de Tourisme

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=85652"">this*",,POINT (-91.188355936028 30.456042486177)
"Gaynell ""Gus"" Tinsley","Historical Marker erected by Van P Whitfield & Family - Houston, TX

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=9974*",,POINT (-91.185235933398 30.412113476668)
Port Hudson Siege,"Historical Marker erected 1956 by The Louisiana Department of Commerce and Industry

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker*",,POINT (-91.193461946629 30.654937527571)
March Of Galvez,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=92836"">this link</a>",,POINT (-91.17212693027 30.405015475681)
Ole War Skule,"Historical Marker erected 1962

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=85698"">this link</a>",,POINT (-91.188370936091 30.455486485884)
Alan Faneca,"Historical Marker erected by Ian E. James Family

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=106079"">this link</a>",,POINT (-91.185213744114 30.41204127664)
"Capture of Baton Rouge by Galvez, 1779","Historical Marker erected 1979

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=85222"">this link</a>",,POINT (-91.188554935944 30.446389483738)
"Roy ""Moonie"" Winston","Historical Marker erected by Republic Finance

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=100629"">this link</a>",,POINT (-91.18524293407 30.41211747625)
Korean War Memorial,"Historical Marker erected 2004 by Korean War Veterans Association Chapter 230 and Friends

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/*",,POINT (-91.190236936484 30.443742482804)
Anthony McFarland,"Historical Marker erected by Ron, John Paul, David & Chris Funes

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=106142""*",,POINT (-91.1852204535 30.412029826735)
Corey Webster,"Historical Marker erected by Kevin, Christy,and Alden Labban

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=106337"">thi*",,POINT (-91.184824824 30.411195646784)
Single-Pen Slave Cabin,"Historical Marker No. 44 erected by LSU Rural Life Museum

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=112713"">this l*",,POINT (-91.114947894843 30.410732758359)
Distinguished Cadets,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=104484"">this link</a>",,POINT (-91.181958932741 30.410013475849)
Jimmy Taylor,"Historical Marker erected by The Nestor Vicknair Family

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=100624"">this lin*",,POINT (-91.185232933716 30.412104476783)
Spanish-American War Memorial,"Historical Marker erected 1939

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=86012"">this link</a>",,POINT (-91.169014930309 30.435548481893)
Josh Jasper,"Historical Marker erected by Joe and April Gaar

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=107595"">this link</a>",,POINT (-91.184795323453 30.411179286745)
Tyler Lafauci,"Historical Marker erected by The Crescent City Tigers

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=105126"">this link<*",,POINT (-91.185239223318 30.412062546653)
Morgan House Site,"Historical Marker erected by City of Baton Rouge

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=92412"">this link</a>",,POINT (-91.186967935932 30.45013248457)
"Odell Beckham, Jr.","Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=107798"">this link</a>",,POINT (-91.184793983708 30.411171106005)
Josh Reed,"Historical Marker erected by Leigh and Jonathan Henderson

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=99933"">this li*",,POINT (-91.184812933731 30.411194476048)
A National Cemetery System,"Historical Marker erected by U.S.Department of Veteran Affairs - National Cemetery Administration

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.h*",,POINT (-91.275852969715 30.660951526455)
Skip Bertman,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=97638"">this link</a>",,POINT (-91.188116934377 30.405444475496)
Baton Rouge Lakes,"Historical Marker erected by State of Louisiana and National Park Service.

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?mark*",,POINT (-91.167442769288 30.421215209255)
Bill Conti,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=115390"">this link</a>",,POINT (-91.188339536211 30.448328163911)
